tradingitemid|companyname|city|state|isocountry3|webpage
3449506|Wynn Resorts, Limited|Las Vegas|Nevada|USA|www.wynnresorts.com
7727529|Biogen Inc.|Cambridge|Massachusetts|USA|www.biogen.com
7958855|NRG Energy, Inc.|Princeton|New Jersey|USA|www.nrg.com
8911582|Assurant, Inc.|New York|New York|USA|www.assurant.com
10458226|salesforce.com, inc.|San Francisco|California|USA|www.salesforce.com
10621103|Patterson Companies, Inc.|Saint Paul|Minnesota|USA|www.pattersoncompanies.com
10621105|Regions Financial Corporation|Birmingham|Alabama|USA|www.regions.com
10621110|WellCare Health Plans, Inc.|Tampa|Florida|USA|www.wellcare.com
10779524|Domino's Pizza, Inc.|Ann Arbor|Michigan|USA|www.dominos.com/index.intl.html
11211489|Extra Space Storage Inc.|Salt Lake City|Utah|USA|www.extraspace.com
12416964|Digital Realty Trust, Inc.|San Francisco|California|USA|www.digitalrealty.com
12498456|MarketAxess Holdings Inc.|New York|New York|USA|www.marketaxess.com
13061513|Las Vegas Sands Corp.|Las Vegas|Nevada|USA|www.sands.com
13679209|Celanese Corporation|Irving|Texas|USA|www.celanese.com
2649102|Schlumberger Limited|Houston|Texas|USA|www.slb.com
20476046|Molson Coors Beverage Company|Denver|Colorado|USA|www.molsoncoors.com
22036506|DexCom, Inc.|San Diego|California|USA|www.dexcom.com
22534033|SVB Financial Group|Santa Clara|California|USA|www.svb.com
23515113|CF Industries Holdings, Inc.|Deerfield|Illinois|USA|www.cfindustries.com
23895633|Ameriprise Financial, Inc.|Minneapolis|Minnesota|USA|www.ameriprise.com
27394538|Mastercard Incorporated|Purchase|New York|USA|www.mastercard.com
24862206|AT&T Inc.|Dallas|Texas|USA|www.att.com
24993622|ViacomCBS Inc.|New York|New York|USA|www.viacomcbs.com
25389977|Live Nation Entertainment, Inc.|Beverly Hills|California|USA|www.livenationentertainment.com
25664347|Chipotle Mexican Grill, Inc.|Newport Beach|California|USA|www.chipotle.com
25745176|Fidelity National Information Services, Inc.|Jacksonville|Florida|USA|www.fisglobal.com
25758143|CA, Inc.|New York|New York|USA|www.ca.com
26360168|TransDigm Group Incorporated|Cleveland|Ohio|USA|www.transdigm.com
27143925|Hess Corporation|New York|New York|USA|www.hess.com
28067782|Travel + Leisure Co.|Orlando|Florida|USA|www.travelandleisureco.com
28674540|Hanesbrands Inc.|Winston-Salem|North Carolina|USA|www.hanes.com
29198406|The Western Union Company|Denver|Colorado|USA|www.westernunion.com
30686653|IPG Photonics Corporation|Oxford|Massachusetts|USA|www.ipgphotonics.com
33345319|Broadridge Financial Solutions, Inc.|Lake Success|New York|USA|www.broadridge.com
33872802|People's United Financial, Inc.|Bridgeport|Connecticut|USA|www.peoples.com
34058542|Delta Air Lines, Inc.|Atlanta|Georgia|USA|www.delta.com
34969516|Discover Financial Services|Riverwoods|Illinois|USA|www.discover.com
35441592|The Bank of New York Mellon Corporation|New York|New York|USA|www.bnymellon.com
36789427|CME Group Inc.|Chicago|Illinois|USA|www.cmegroup.com
36842461|The Travelers Companies, Inc.|New York|New York|USA|www.travelers.com
38569142|Ulta Beauty, Inc.|Bolingbrook|Illinois|USA|www.ulta.com
39385806|Invesco Ltd.|Atlanta|Georgia|USA|www.invesco.com
42384826|Philip Morris International Inc.|New York|New York|USA|www.pmi.com
42484709|Visa Inc.|San Francisco|California|USA|usa.visa.com
43952457|American Water Works Company, Inc.|Camden|New Jersey|USA|www.amwater.com
44206722|Dr Pepper Snapple Group, Inc.|Plano|Texas|USA|www.drpeppersnapplegroup.com
45835910|Scripps Networks Interactive, Inc.|Knoxville|Tennessee|USA|
46639516|Activision Blizzard, Inc.|Santa Monica|California|USA|www.activisionblizzard.com
49031559|Discovery, Inc.|Silver Spring|Maryland|USA|corporate.discovery.com
54414165|Verisk Analytics, Inc.|Jersey City|New Jersey|USA|www.verisk.com
2638961|ConocoPhillips|Houston|Texas|USA|www.conocophillips.com
79599896|Dollar General Corporation|Goodlettsville|Tennessee|USA|www.dollargeneral.com
79720572|Fortinet, Inc.|Sunnyvale|California|USA|www.fortinet.com
2665846|Accenture plc|Dublin|Co. Dublin|IRL|www.accenture.com
2666036|Trane Technologies plc|Swords|Co. Dublin|IRL|www.tranetechnologies.com
2610835|NextEra Energy, Inc.|Juno Beach|Florida|USA|www.nexteraenergy.com
2665988|Garmin Ltd.|Schaffhausen|Schaffhausen|CHE|www.garmin.com
3809426|Seagate Technology plc|Dublin|Co. Dublin|IRL|www.seagate.com
38985681|MSCI Inc.|New York|New York|USA|www.msci.com
107990214|Cboe Global Markets, Inc.|Chicago|Illinois|USA|www.cboe.com
25664369|United Airlines Holdings, Inc.|Chicago|Illinois|USA|www.united.com
104594732|LyondellBasell Industries N.V.|Houston|Texas|USA|www.lyondellbasell.com
2636236|O'Reilly Automotive, Inc.|Springfield|Missouri|USA|www.oreillyauto.com
2631805|Motorola Solutions, Inc.|Chicago|Illinois|USA|www.motorolasolutions.com
34969541|TE Connectivity Ltd.|Schaffhausen|Schaffhausen|CHE|www.te.com
100667466|General Motors Company|Detroit|Michigan|USA|www.gm.com
116836102|First Republic Bank|San Francisco|California|USA|www.firstrepublic.com
117075824|FLEETCOR Technologies, Inc.|Atlanta|Georgia|USA|www.fleetcor.com
128844730|Huntington Ingalls Industries, Inc.|Newport News|Virginia|USA|www.huntingtoningalls.com
2600628|Citigroup Inc.|New York|New York|USA|www.citigroup.com
133184870|The Mosaic Company|Tampa|Florida|USA|www.mosaicco.com
133997359|Prologis, Inc.|San Francisco|California|USA|www.prologis.com
126940576|Kinder Morgan, Inc.|Houston|Texas|USA|www.kindermorgan.com
128219751|HCA Healthcare, Inc.|Nashville|Tennessee|USA|www.hcahealthcare.com
2618710|HollyFrontier Corporation|Dallas|Texas|USA|www.hollyfrontier.com
134721329|Marathon Petroleum Corporation|Findlay|Ohio|USA|www.marathonpetroleum.com
2638965|PVH Corp.|New York|New York|USA|www.pvh.com
2639667|Ralph Lauren Corporation|New York|New York|USA|www.ralphlauren.com
140621056|Fortune Brands Home & Security, Inc.|Deerfield|Illinois|USA|www.fbhs.com
10286451|CBRE Group, Inc.|Dallas|Texas|USA|www.cbre.com
141637207|Xylem Inc.|Rye Brook|New York|USA|www.xylem.com
24993638|Viacom Inc.|New York|New York|USA|www.viacom.com
2608773|Electronic Arts Inc.|Redwood City|California|USA|www.ea.com
144186892|TripAdvisor, Inc.|Needham|Massachusetts|USA|www.tripadvisor.com
23133968|Expedia Group, Inc.|Seattle|Washington|USA|www.expediagroup.com
212535503|American Tower Corporation (REIT)|Boston|Massachusetts|USA|www.americantower.com
2590230|Aon plc|Dublin|Co. Dublin|IRL|www.aon.com
2610646|Express Scripts Holding Company|Saint Louis|Missouri|USA|www.express-scripts.com
184401980|Phillips 66|Houston|Texas|USA|www.phillips66.com
7221455|LKQ Corporation|Chicago|Illinois|USA|www.lkqcorp.com
26591431|Duke Energy Corporation|Charlotte|North Carolina|USA|www.duke-energy.com
126910337|Facebook, Inc.|Menlo Park|California|USA|investor.fb.com
210039275|ServiceNow, Inc.|Santa Clara|California|USA|www.servicenow.com
2624336|Mondelez International, Inc.|Chicago|Illinois|USA|www.mondelezinternational.com
2608332|Eaton Corporation plc|Dublin|Co. Dublin|IRL|www.eaton.com
206901219|Diamondback Energy, Inc.|Midland|Texas|USA|www.diamondbackenergy.com
225079155|AbbVie Inc.|North Chicago|Illinois|USA|www.abbvie.com
225927512|Norwegian Cruise Line Holdings Ltd.|Miami|Florida|USA|www.nclhltd.com
240207244|T-Mobile US, Inc.|Bellevue|Washington|USA|www.t-mobile.com
226099795|Zoetis Inc.|Parsippany|New Jersey|USA|www.zoetis.com
12465726|TFCF Corporation|Burbank|California|USA|
241894833|News Corporation|New York|New York|USA|newscorp.com
144100713|Capri Holdings Limited|London|Greater London|GBR|www.capriholdings.com
241563566|CDW Corporation|Lincolnshire|Illinois|USA|www.cdw.com
29618826|Leidos Holdings, Inc.|Reston|Virginia|USA|www.leidos.com
249367583|Intercontinental Exchange, Inc.|Atlanta|Georgia|USA|www.intercontinentalexchange.com
2626802|L Brands, Inc.|Columbus|Ohio|USA|www.lb.com
251755445|Allegion plc|Dublin|Co. Dublin|IRL|www.allegion.com
252670109|American Airlines Group Inc.|Fort Worth|Texas|USA|www.aa.com
253172906|Perrigo Company plc|Dublin|Co. Dublin|IRL|www.perrigo.com
248245510|Twitter, Inc.|San Francisco|California|USA|www.twitter.com
262300822|Navient Corporation|Wilmington|Delaware|USA|www.navient.com
2638398|Pentair plc|London|Greater London|GBR|www.pentair.com
261319153|Paycom Software, Inc.|Oklahoma City|Oklahoma|USA|www.paycom.com
268941272|Synchrony Financial|Stamford|Connecticut|USA|www.synchrony.com
272548780|Keysight Technologies, Inc.|Santa Rosa|California|USA|www.keysight.com
12867396|Anthem, Inc.|Indianapolis|Indiana|USA|www.antheminc.com
279701362|Crown Castle International Corp. (REIT)|Houston|Texas|USA|www.crowncastle.com
271981530|Citizens Financial Group, Inc.|Providence|Rhode Island|USA|www.citizensbank.com
2663246|Walgreens Boots Alliance, Inc.|Deerfield|Illinois|USA|www.walgreensbootsalliance.com
280882256|Qorvo, Inc.|Greensboro|North Carolina|USA|www.qorvo.com
2622515|Iron Mountain Incorporated|Boston|Massachusetts|USA|www.ironmountain.com
282940499|Medtronic plc|Dublin|Co. Dublin|IRL|www.medtronic.com
283454304|Equinix, Inc. (REIT)|Redwood City|California|USA|www.equinix.com
2634583|Eversource Energy|Springfield|Massachusetts|USA|www.eversource.com
244652395|Allergan plc|Dublin|Co. Dublin|IRL|www.allergan.com
2617597|Monster Beverage Corporation|Corona|California|USA|www.monsterbevcorp.com
2665651|Zimmer Biomet Holdings, Inc.|Warsaw|Indiana|USA|www.zimmerbiomet.com
2664699|WEC Energy Group, Inc.|Milwaukee|Wisconsin|USA|www.wecenergygroup.com
304886085|WestRock Company|Atlanta|Georgia|USA|www.westrock.com
305755683|The Kraft Heinz Company|Pittsburgh|Pennsylvania|USA|www.kraftheinzcompany.com
306093931|PayPal Holdings, Inc.|San Jose|California|USA|www.paypal.com
303054012|Nielsen Holdings plc|New York|New York|USA|www.nielsen.com
12465727|TFCF Corporation|Burbank|California|USA|
241894832|News Corporation|New York|New York|USA|newscorp.com
261813712|Arista Networks, Inc.|Santa Clara|California|USA|www.arista.com
2618035|Welltower Inc.|Toledo|Ohio|USA|www.welltower.com
11311662|Alphabet Inc.|Mountain View|California|USA|www.abc.xyz
260152426|Alphabet Inc.|Mountain View|California|USA|www.abc.xyz
313064514|Hewlett Packard Enterprise Company|Houston|Texas|USA|www.hpe.com
2618412|HP Inc.|Palo Alto|California|USA|www8.hp.com
316754620|CSRA Inc.|Falls Church|Virginia|USA|www.csra.com
317560689|Willis Towers Watson Public Limited Company|London|Greater London|GBR|www.willistowerswatson.com
46875436|Chubb Limited|Zurich|Zurich|CHE|www.chubb.com/us-en
61793523|Broadcom Inc.|San Jose|California|USA|www.broadcom.com
2605587|DENTSPLY SIRONA Inc.|Charlotte|North Carolina|USA|www.dentsplysirona.com
2629108|S&P Global Inc.|New York|New York|USA|www.spglobal.com
415067761|Charter Communications, Inc.|Stamford|Connecticut|USA|corporate.charter.com
365525902|Fortive Corporation|Everett|Washington|USA|www.fortive.com
405201256|IHS Markit Ltd.|London|Greater London|GBR|www.ihsmarkit.com
372277281|Johnson Controls International plc|Cork|Co. Cork|IRL|www.johnsoncontrols.com
416368664|Howmet Aerospace Inc.|Pittsburgh|Pennsylvania|USA|www.howmet.com
407721464|Lamb Weston Holdings, Inc.|Eagle|Idaho|USA|www.lambweston.com
403901467|Envision Healthcare Corporation|Nashville|Tennessee|USA|www.evhc.net
24822135|Under Armour, Inc.|Baltimore|Maryland|USA|www.underarmour.com
328979974|Under Armour, Inc.|Baltimore|Maryland|USA|www.underarmour.com
413474314|L3 Technologies, Inc.|New York|New York|USA|www.l3t.com
252437074|Hilton Worldwide Holdings Inc.|McLean|Virginia|USA|www.hilton.com
2644209|SBA Communications Corporation|Boca Raton|Florida|USA|www.sbasite.com
115485825|Brookfield Property REIT Inc.|New York|New York|USA|www.bpy.brookfield.com
423654859|DXC Technology Company|Tysons|Virginia|USA|www.dxc.technology
2665260|Xerox Holdings Corporation|Norwalk|Connecticut|USA|www.xerox.com
433925520|Baker Hughes Company|Houston|Texas|USA|www.bakerhughes.com
2657553|Andeavor|San Antonio|Texas|USA|www.andeavor.com
410444414|Brighthouse Financial, Inc.|Charlotte|North Carolina|USA|www.brighthousefinancial.com
383332720|DuPont de Nemours, Inc.|Wilmington|Delaware|USA|www.dupont.com
2601079|Tapestry, Inc.|New York|New York|USA|www.tapestry.com
234816959|IQVIA Holdings Inc.|Danbury|Connecticut|USA|www.iqvia.com
142650454|Aptiv PLC|Dublin|Co. Dublin|IRL|www.aptiv.com
2640332|Booking Holdings Inc.|Norwalk|Connecticut|USA|www.bookingholdings.com
2618035|Welltower Inc.|Toledo|Ohio|USA|www.welltower.com
10286451|CBRE Group, Inc.|Dallas|Texas|USA|www.cbre.com
555183874|Broadcom Inc.|San Jose|California|USA|www.broadcom.com
555183874|Broadcom Inc.|San Jose|California|USA|www.broadcom.com
558575947|nVent Electric plc|London|Greater London|GBR|www.nvent.com
559799694|ChampionX Corporation|The Woodlands|Texas|USA|www.championx.com
2626277|Jefferies Financial Group Inc.|New York|New York|USA|www.jefferies.com
563365077|Perspecta Inc.|Chantilly|Virginia|USA|perspecta.com
569484256|Evergy, Inc.|Kansas City|Missouri|USA|www.evergyinc.com
580130619|Garrett Motion Inc.|Rolle|Vaud|CHE|www.garrettmotion.com
585333152|Resideo Technologies, Inc.|Austin|Texas|USA|www.resideo.com
530272885|Linde plc|Guildford|Surrey|GBR|www.linde.com
2594761|H&R Block, Inc.|Kansas City|Missouri|USA|www.hrblock.com
586093745|Cigna Corporation|Bloomfield|Connecticut|USA|www.cigna.com
2624252|Kohl's Corporation|Menomonee Falls|Wisconsin|USA|www.Kohls.com
144100713|Capri Holdings Limited|London|Greater London|GBR|www.capriholdings.com
597681677|Covetrus, Inc.|Portland|Maine|USA|www.covetrus.com
2657481|Teradyne, Inc.|North Reading|Massachusetts|USA|www.teradyne.com
2599302|Lumen Technologies, Inc.|Monroe|Louisiana|USA|www.lumen.com
604619421|Fox Corporation|New York|New York|USA|www.foxcorporation.com
240356503|Coty Inc.|New York|New York|USA|www.coty.com
604619420|Fox Corporation|New York|New York|USA|www.foxcorporation.com
12465726|TFCF Corporation|Burbank|California|USA|
12465727|TFCF Corporation|Burbank|California|USA|
283505869|STERIS plc|Dublin|Co. Dublin|IRL|www.steris.com
27261286|Pool Corporation|Covington|Louisiana|USA|www.poolcorp.com
598574539|Dow Inc.|Midland|Michigan|USA|www.dow.com
2608062|E*TRADE Financial, LLC|Arlington|Virginia|USA|about.etrade.com
2634240|Noble Energy, Inc.|Houston|Texas|USA|www.nblenergy.com
268941326|Catalent, Inc.|Somerset|New Jersey|USA|www.catalent.com
609811884|Kontoor Brands, Inc.|Greensboro|North Carolina|USA|www.kontoorbrands.com
290177442|Etsy, Inc.|Brooklyn|New York|USA|www.etsy.com
281970742|Viatris Inc.|Canonsburg|Pennsylvania|USA|www.viatris.com
588604057|Corteva, Inc.|Wilmington|Delaware|USA|www.corteva.com
678367691|Viatris Inc.|Canonsburg|Pennsylvania|USA|www.viatris.com
108803915|Tesla, Inc.|Palo Alto|California|USA|www.tesla.com
2590254|Apartment Investment and Management Company|Denver|Colorado|USA|www.aimco.com
383332720|DuPont de Nemours, Inc.|Wilmington|Delaware|USA|www.dupont.com
2632795|NOV Inc.|Houston|Texas|USA|www.nov.com
606341230|Amcor plc|Zurich|Zurich|CHE|www.amcor.com
2632795|NOV Inc.|Houston|Texas|USA|www.nov.com
2658066|Tiffany & Co.|New York|New York|USA|www.tiffany.com
2617727|L3Harris Technologies, Inc.|Melbourne|Florida|USA|www.l3harris.com
2658387|Globe Life Inc.|McKinney|Texas|USA|www.globelifeinsurance.com
433925520|Baker Hughes Company|Houston|Texas|USA|www.bakerhughes.com
36844550|Healthpeak Properties, Inc.|Denver|Colorado|USA|www.healthpeak.com
2655828|NortonLifeLock Inc.|Tempe|Arizona|USA|www.nortonLifeLock.com
24993622|ViacomCBS Inc.|New York|New York|USA|www.viacomcbs.com
2592140|Truist Financial Corporation|Charlotte|North Carolina|USA|www.truist.com
2622922|Jacobs Engineering Group Inc.|Dallas|Texas|USA|www.jacobs.com
429940161|Ingersoll Rand Inc.|Davidson|North Carolina|USA|www.irco.com
696191229|Apartment Income REIT Corp.|Denver|Colorado|USA|www.aircommunities.com
2644395|SL Green Realty Corp.|New York|New York|USA|www.slgreen.com
2659449|Trimble Inc.|Sunnyvale|California|USA|www.trimble.com
2666036|Trane Technologies plc|Swords|Co. Dublin|IRL|www.tranetechnologies.com
2590230|Aon plc|Dublin|Co. Dublin|IRL|www.aon.com
653974497|Arconic Corporation|Pittsburgh|Pennsylvania|USA|www.arconic.com
36101566|Concho Resources Inc.|Midland|Texas|USA|www.concho.com
2590238|APA Corporation|Houston|Texas|USA|apacorp.com
141055809|Enphase Energy, Inc.|Fremont|California|USA|www.enphase.com
2599302|Lumen Technologies, Inc.|Monroe|Louisiana|USA|www.lumen.com
2599302|Lumen Technologies, Inc.|Monroe|Louisiana|USA|www.lumen.com
12719125|Monolithic Power Systems, Inc.|Kirkland|Washington|USA|www.monolithicpower.com
416368664|Howmet Aerospace Inc.|Pittsburgh|Pennsylvania|USA|www.howmet.com
2661035|Raytheon Technologies Corporation|Waltham|Massachusetts|USA|www.rtx.com
658545221|Otis Worldwide Corporation|Farmington|Connecticut|USA|www.otis.com
413835550|TechnipFMC plc|London|Greater London|GBR|www.technipfmc.com
2613026|Flowserve Corporation|Irving|Texas|USA|www.flowserve.com
2638268|Penn National Gaming, Inc.|Wyomissing|Pennsylvania|USA|www.pngaming.com
706171023|APA Corporation|Houston|Texas|USA|apacorp.com
658545324|Carrier Global Corporation|Palm Beach Gardens|Florida|USA|www.corporate.carrier.com
83105693|Generac Holdings Inc.|Waukesha|Wisconsin|USA|www.generac.com
610592433|Xerox Holdings Corporation|Norwalk|Connecticut|USA|www.xerox.com
111574674|NXP Semiconductors N.V.|Eindhoven|Noord-Brabant|NLD|www.nxp.com
677853450|Caesars Entertainment, Inc.|Reno|Nevada|USA|www.caesars.com
655281336|Vontier Corporation|Raleigh|North Carolina|USA|www.vontier.com
2644395|SL Green Realty Corp.|New York|New York|USA|www.slgreen.com
